timestamp,close,high,low,n,open,volume,vw
2025-01-08 19:00:00+00:00,588.55,590.54,587.12,1188,587.45,105629,588.892662
2025-01-08 20:00:00+00:00,589.34,589.76,587.97,1585,588.56,172745,589.089487
2025-01-10 13:00:00+00:00,584.7,585.01,584.0,9,584.15,1320,584.606667
2025-01-10 14:00:00+00:00,582.85,585.87,582.34,1269,585.87,98114,583.589544
2025-01-10 15:00:00+00:00,581.09,583.2,579.22,2369,582.68,181000,581.112151
2025-01-10 16:00:00+00:00,579.035,581.295,578.88,1521,581.295,112920,580.055869
2025-01-10 17:00:00+00:00,581.615,581.68,578.57,1879,579.02,116233,579.932536
2025-01-10 18:00:00+00:00,584.48,584.5,581.04,1370,581.49,110168,582.946624
2025-01-10 19:00:00+00:00,582.11,584.17,581.31,1172,584.15,83268,582.30983
2025-01-10 20:00:00+00:00,580.49,582.33,579.71,3294,582.08,311555,580.685085
2025-01-10 21:00:00+00:00,580.39,580.39,580.39,1,580.39,200,580.39
2025-01-13 14:00:00+00:00,577.76,578.32,575.48,998,576.26,84906,576.381098
2025-01-13 15:00:00+00:00,577.915,579.115,575.94,1505,577.84,123769,577.561956
2025-01-13 16:00:00+00:00,576.025,578.165,575.95,1053,578.055,71605,577.211333
2025-01-13 17:00:00+00:00,579.485,579.495,575.715,1144,576.02,67206,577.586091
2025-01-13 18:00:00+00:00,580.03,580.21,578.91,1205,579.42,87938,579.614367
2025-01-13 19:00:00+00:00,580.47,580.97,579.005,1317,580.09,87563,580.131589
2025-01-13 20:00:00+00:00,581.41,581.72,579.89,2295,580.455,192209,580.739645
2025-01-14 14:00:00+00:00,582.33,584.99,581.98,1670,584.34,128866,583.994836
2025-01-14 15:00:00+00:00,581.935,584.61,581.85,1475,582.36,123691,583.203587
2025-01-14 16:00:00+00:00,578.87,581.935,578.87,1569,581.69,137794,580.533664
2025-01-14 17:00:00+00:00,580.22,580.535,578.4,1144,578.71,98444,579.534713
2025-01-14 18:00:00+00:00,583.535,583.68,580.11,1093,580.175,90727,582.014185
2025-01-14 19:00:00+00:00,580.61,583.78,580.39,1279,583.445,95924,582.80159
2025-01-14 20:00:00+00:00,582.2,582.28,578.95,2362,580.68,235027,581.054757
2025-01-15 13:00:00+00:00,591.31,591.31,591.31,1,591.31,100,591.31
2025-01-15 14:00:00+00:00,591.87,592.14,589.25,2078,590.52,142328,590.75561
2025-01-15 15:00:00+00:00,591.26,592.93,591.1,2442,591.91,193581,592.049351
2025-01-15 16:00:00+00:00,589.99,591.96,589.5,1764,591.54,139322,590.761504
2025-01-15 17:00:00+00:00,590.91,591.895,589.945,1385,590.06,68818,591.078397
2025-01-15 18:00:00+00:00,592.485,592.62,591.09,1300,591.115,56182,592.092363
2025-01-15 19:00:00+00:00,593.39,593.72,592.44,1713,592.575,114939,593.029387
