timestamp,close,high,low,n,open,volume,vw
2024-08-07 15:00:00+00:00,197.63,200.39,196.9,1148,198.77,82383,198.827065
2024-08-07 16:00:00+00:00,197.69,198.55,196.18,971,197.445,65433,197.589933
2024-08-07 17:00:00+00:00,194.34,197.825,193.96,970,197.825,68456,195.921769
2024-08-07 18:00:00+00:00,192.22,194.68,191.875,1193,194.41,80676,192.770131
2024-08-07 19:00:00+00:00,191.82,194.41,191.495,1994,192.585,151461,192.72191
2024-08-07 20:00:00+00:00,191.5,191.5,191.43,8,191.43,1136,191.487676
2024-08-08 12:00:00+00:00,193.96,193.96,193.96,1,193.96,500,193.96
2024-08-08 13:00:00+00:00,194.18,196.01,192.13,1281,195.91,77435,193.919947
2024-08-08 14:00:00+00:00,199.425,199.425,193.5,1277,194.29,88990,196.816362
2024-08-08 15:00:00+00:00,198.04,199.34,197.25,849,199.34,45512,198.326424
2024-08-08 16:00:00+00:00,197.81,198.34,196.56,603,197.86,29175,197.440034
2024-08-08 17:00:00+00:00,199.4,199.94,197.33,797,197.98,43299,199.350537
2024-08-08 18:00:00+00:00,198.93,200.68,198.93,616,199.37,32326,199.835818
2024-08-08 19:00:00+00:00,198.97,199.38,197.785,1393,198.83,91611,198.610412
2024-08-09 12:00:00+00:00,198.01,198.01,198.01,1,198.01,100,198.01
2024-08-09 13:00:00+00:00,197.11,199.915,196.23,1115,196.92,96310,197.632025
2024-08-09 14:00:00+00:00,197.14,198.24,195.16,1067,196.915,74745,196.753857
2024-08-09 15:00:00+00:00,196.6,199.18,196.55,792,197.34,66002,198.07367
2024-08-09 16:00:00+00:00,197.895,198.19,196.41,406,196.715,24286,197.185292
2024-08-09 17:00:00+00:00,199.57,200.86,197.72,887,197.81,64184,199.929759
2024-08-09 18:00:00+00:00,199.68,200.47,199.26,450,199.585,29541,199.741331
2024-08-09 19:00:00+00:00,199.99,200.17,199.21,1157,199.8,77016,199.848219
2024-08-12 13:00:00+00:00,195.04,199.21,194.73,1446,198.94,127597,196.83702
2024-08-12 14:00:00+00:00,197.11,198.27,194.86,1468,195.07,105531,196.720161
